people_id,activity_id,date,activity_category,char_1,char_2,char_3,char_4,char_5,char_6,char_7,char_8,char_9,char_10,outcome
ppl_275864,act2_1699253,2023-04-15,type 2,,,,,,,,,,type 1,0
ppl_219112,act2_3101654,2022-10-18,type 2,,,,,,,,,,type 1,1
ppl_126811,act2_4211387,2022-08-22,type 2,,,,,,,,,,type 1,0
ppl_231798,act2_1083069,2023-04-12,type 2,,,,,,,,,,type 1,0
ppl_70570,act2_890096,2023-08-30,type 3,,,,,,,,,,type 2,0
ppl_142264,act2_422234,2022-09-06,type 3,,,,,,,,,,type 1934,0
ppl_221523,act2_856785,2022-09-09,type 2,,,,,,,,,,type 1,0
ppl_370270,act2_1685059,2022-10-22,type 3,,,,,,,,,,type 23,0
ppl_138797,act2_4118986,2023-05-12,type 3,,,,,,,,,,type 2,0
ppl_18691,act2_3839110,2023-07-08,type 4,,,,,,,,,,type 97,1
ppl_284571,act2_3400056,2023-01-22,type 2,,,,,,,,,,type 1,0
ppl_269672,act2_687650,2022-10-14,type 2,,,,,,,,,,type 1,0
ppl_297318,act2_3159123,2023-07-29,type 2,,,,,,,,,,type 1,0
ppl_191052,act2_495877,2023-01-11,type 5,,,,,,,,,,type 452,1
ppl_245251,act2_1068516,2022-10-24,type 5,,,,,,,,,,type 2114,1
ppl_370270,act2_1474962,2022-10-22,type 3,,,,,,,,,,type 23,0
ppl_274654,act2_2998580,2022-11-04,type 5,,,,,,,,,,type 104,1
ppl_190907,act1_144904,2022-09-06,type 1,type 12,type 1,type 9,type 3,type 1,type 3,type 6,type 1,type 1,,1
ppl_347172,act2_583645,2022-10-15,type 5,,,,,,,,,,type 433,0
ppl_379078,act2_2843351,2023-07-19,type 2,,,,,,,,,,type 1,1
ppl_332766,act2_2265088,2023-02-01,type 2,,,,,,,,,,type 1,1
ppl_348155,act2_4252640,2023-06-07,type 2,,,,,,,,,,type 1,0
ppl_821,act2_6832,2022-08-25,type 2,,,,,,,,,,type 1,1
ppl_384548,act2_2313183,2023-02-02,type 3,,,,,,,,,,type 2,0
ppl_180091,act2_4404877,2022-12-30,type 2,,,,,,,,,,type 1,0
ppl_117864,act2_893727,2023-02-23,type 2,,,,,,,,,,type 1,0
ppl_253974,act2_4499446,2022-12-27,type 2,,,,,,,,,,type 1,1
ppl_389401,act2_2296940,2023-06-15,type 4,,,,,,,,,,type 201,1
ppl_24888,act1_232867,2023-03-08,type 1,type 2,type 2,type 3,type 3,type 2,type 2,type 2,type 4,type 2,,0
ppl_356815,act2_4722698,2023-07-07,type 3,,,,,,,,,,type 55,1
ppl_381041,act2_3480072,2023-04-04,type 2,,,,,,,,,,type 1,1
ppl_302607,act1_394716,2023-07-06,type 1,type 2,type 2,type 7,type 3,type 2,type 2,type 2,type 4,type 7,,0
ppl_191661,act2_3036393,2023-06-09,type 4,,,,,,,,,,type 386,0
ppl_299334,act2_2755639,2022-09-18,type 2,,,,,,,,,,type 1,0
ppl_19157,act2_1068101,2023-03-03,type 2,,,,,,,,,,type 1,1
ppl_320444,act2_3122059,2023-04-22,type 2,,,,,,,,,,type 1,1
ppl_168629,act2_680600,2023-02-06,type 5,,,,,,,,,,type 5455,1
ppl_13106,act2_2694418,2022-11-22,type 2,,,,,,,,,,type 1,0
ppl_97427,act2_701659,2022-09-09,type 2,,,,,,,,,,type 1,1
ppl_90381,act2_1559188,2023-03-03,type 3,,,,,,,,,,type 3,1
ppl_384988,act2_540276,2023-04-14,type 2,,,,,,,,,,type 1,1
ppl_197887,act2_438001,2022-12-19,type 5,,,,,,,,,,type 2114,1
ppl_347164,act2_1494381,2022-09-23,type 5,,,,,,,,,,type 447,1
ppl_113013,act2_2635003,2023-04-29,type 2,,,,,,,,,,type 1,0
ppl_318041,act1_321342,2023-03-29,type 1,type 2,type 6,type 1,type 3,type 1,type 2,type 2,type 4,type 1,,0
ppl_286778,act2_3387874,2023-03-27,type 2,,,,,,,,,,type 1,0
ppl_110181,act2_3398939,2023-05-30,type 2,,,,,,,,,,type 1,0
ppl_370270,act2_2883117,2022-10-23,type 3,,,,,,,,,,type 23,0
ppl_294918,act2_1064432,2022-10-18,type 3,,,,,,,,,,type 23,0
ppl_320789,act1_83445,2023-02-01,type 1,type 2,type 5,type 3,type 3,type 6,type 2,type 2,type 4,type 8,,0
ppl_348894,act2_1312809,2022-10-19,type 5,,,,,,,,,,type 2252,1
ppl_391135,act2_1080896,2023-02-03,type 2,,,,,,,,,,type 1,0
ppl_7312,act1_329548,2022-08-06,type 1,type 5,type 2,type 5,type 1,type 6,type 1,type 1,type 8,type 12,,1
ppl_119655,act2_2753644,2023-02-03,type 2,,,,,,,,,,type 1,0
ppl_53195,act2_454511,2022-12-20,type 2,,,,,,,,,,type 1,0
ppl_159563,act1_162667,2022-10-14,type 1,type 5,type 2,type 6,type 3,type 1,type 2,type 2,type 4,type 5,,1
ppl_57544,act2_1112634,2023-03-08,type 2,,,,,,,,,,type 1,1
ppl_143269,act1_268393,2022-12-13,type 1,type 5,type 2,type 7,type 3,type 1,type 3,type 2,type 4,type 7,,0
ppl_148128,act2_1697138,2022-10-13,type 5,,,,,,,,,,type 2694,1
ppl_196279,act2_2895222,2022-11-09,type 2,,,,,,,,,,type 1,0
ppl_98435,act2_1712300,2023-05-03,type 3,,,,,,,,,,type 3,1
ppl_140372,act2_1214325,2023-03-01,type 3,,,,,,,,,,type 61,0
ppl_177343,act2_1129849,2022-10-29,type 5,,,,,,,,,,type 4213,1
ppl_6023,act2_852572,2023-08-02,type 2,,,,,,,,,,type 1,0
ppl_381848,act2_2837262,2023-03-10,type 2,,,,,,,,,,type 1,1
ppl_362125,act2_1217387,2022-07-27,type 4,,,,,,,,,,type 313,0
ppl_352613,act2_2560993,2023-06-15,type 3,,,,,,,,,,type 8,0
ppl_97526,act2_4454703,2022-12-01,type 2,,,,,,,,,,type 1,1
ppl_21437,act2_3673408,2022-08-19,type 2,,,,,,,,,,type 1,0
ppl_144347,act2_2971479,2023-02-16,type 5,,,,,,,,,,type 1313,0
ppl_357693,act2_464651,2023-04-19,type 4,,,,,,,,,,type 205,1
ppl_94630,act2_3553237,2023-02-07,type 4,,,,,,,,,,type 181,0
ppl_52336,act1_299588,2022-11-02,type 1,type 5,type 17,type 5,type 2,type 6,type 1,type 1,type 11,type 6,,0
ppl_38743,act2_4524683,2022-10-13,type 2,,,,,,,,,,type 1,1
ppl_105739,act2_2144924,2022-09-29,type 3,,,,,,,,,,type 23,0
ppl_348152,act2_2789930,2022-09-30,type 5,,,,,,,,,,type 3834,0
ppl_159670,act2_3001700,2023-07-20,type 2,,,,,,,,,,type 1,0
ppl_125527,act2_4319298,2023-05-12,type 3,,,,,,,,,,type 2,1
ppl_290761,act2_1905289,2022-08-04,type 2,,,,,,,,,,type 1,1
ppl_337488,act2_4775158,2023-06-23,type 3,,,,,,,,,,type 2,0
ppl_105739,act2_2628726,2022-09-30,type 3,,,,,,,,,,type 23,0
ppl_376222,act2_3764521,2022-10-16,type 5,,,,,,,,,,type 1069,0
ppl_256988,act2_1111085,2022-11-10,type 6,,,,,,,,,,type 110,0
ppl_108566,act2_1351990,2022-11-17,type 5,,,,,,,,,,type 2392,1
ppl_213080,act2_4388512,2023-08-06,type 2,,,,,,,,,,type 1,0
ppl_270095,act2_2183552,2022-09-25,type 5,,,,,,,,,,type 1058,0
ppl_229346,act2_862592,2022-10-05,type 2,,,,,,,,,,type 1,0
ppl_307603,act2_3673282,2023-03-26,type 2,,,,,,,,,,type 1,1
ppl_105739,act2_2467879,2022-09-28,type 3,,,,,,,,,,type 23,0
ppl_130480,act2_139288,2022-10-19,type 2,,,,,,,,,,type 1,0
ppl_269588,act2_4426084,2022-11-11,type 5,,,,,,,,,,type 2323,0
ppl_213201,act2_950302,2022-09-17,type 2,,,,,,,,,,type 1,1
ppl_211546,act2_2857641,2022-10-15,type 5,,,,,,,,,,type 4956,1
ppl_59423,act2_696330,2022-09-17,type 5,,,,,,,,,,type 1885,1
ppl_70957,act2_3171480,2022-08-02,type 2,,,,,,,,,,type 1,0
ppl_136627,act1_192367,2022-10-06,type 1,type 2,type 5,type 3,type 2,type 6,type 1,type 1,type 6,type 8,,0
ppl_267471,act2_1439142,2022-09-20,type 2,,,,,,,,,,type 1,0
ppl_52002,act2_4745276,2022-07-28,type 2,,,,,,,,,,type 1,1
ppl_184704,act2_1787637,2023-03-22,type 2,,,,,,,,,,type 1,0
ppl_283338,act2_4573745,2023-04-27,type 2,,,,,,,,,,type 1,1
ppl_335519,act2_332635,2023-04-14,type 3,,,,,,,,,,type 2,1
ppl_270875,act2_3054388,2022-10-28,type 2,,,,,,,,,,type 1,0
ppl_295581,act2_3371540,2023-07-30,type 3,,,,,,,,,,type 61,0
ppl_15189,act2_1352020,2022-08-24,type 2,,,,,,,,,,type 1,1
ppl_6301,act2_1634598,2023-01-11,type 5,,,,,,,,,,type 4194,0
ppl_193482,act1_373149,2022-11-22,type 1,type 10,type 10,type 5,type 2,type 6,type 1,type 1,type 6,type 2,,0
ppl_188332,act2_1312298,2023-01-28,type 2,,,,,,,,,,type 1,0
ppl_286120,act2_1572430,2023-06-09,type 4,,,,,,,,,,type 46,0
ppl_337716,act2_645499,2023-06-03,type 2,,,,,,,,,,type 1,0
ppl_345099,act2_2439324,2023-04-28,type 3,,,,,,,,,,type 3,1
ppl_25315,act2_1264819,2022-09-22,type 2,,,,,,,,,,type 1,1
ppl_148534,act2_2079484,2022-07-23,type 3,,,,,,,,,,type 3,1
ppl_112505,act2_17232,2023-06-09,type 2,,,,,,,,,,type 1,1
ppl_710,act1_50092,2023-07-25,type 1,type 1,type 6,type 2,type 2,type 1,type 1,type 1,type 2,type 1,,1
ppl_116181,act2_2543153,2022-11-03,type 5,,,,,,,,,,type 489,0
ppl_339066,act2_2274983,2023-05-09,type 3,,,,,,,,,,type 2,0
ppl_129064,act2_698108,2023-04-13,type 2,,,,,,,,,,type 1,0
ppl_40263,act2_4373928,2022-11-03,type 5,,,,,,,,,,type 649,0
ppl_125023,act2_859845,2022-10-01,type 5,,,,,,,,,,type 997,0
ppl_31958,act2_848540,2022-07-29,type 2,,,,,,,,,,type 1,0
ppl_143283,act2_3341854,2023-01-26,type 2,,,,,,,,,,type 1,0
ppl_141846,act2_3599161,2023-01-27,type 3,,,,,,,,,,type 61,0
ppl_42935,act2_2828413,2023-01-24,type 2,,,,,,,,,,type 1,1
ppl_32282,act2_944400,2023-05-03,type 2,,,,,,,,,,type 1,1
ppl_395075,act2_3926532,2023-07-14,type 2,,,,,,,,,,type 1,1
ppl_332318,act2_2461285,2023-07-14,type 3,,,,,,,,,,type 52,1
ppl_98433,act2_2587519,2023-02-21,type 2,,,,,,,,,,type 1,0
ppl_195650,act2_371257,2022-08-10,type 2,,,,,,,,,,type 1,0
ppl_320168,act2_2195519,2023-06-30,type 4,,,,,,,,,,type 47,1
ppl_35107,act1_84328,2023-03-09,type 1,type 36,type 1,type 5,type 1,type 6,type 1,type 1,type 7,type 4,,1
ppl_314433,act2_2345149,2023-02-23,type 2,,,,,,,,,,type 1,0
ppl_377575,act2_1340612,2022-12-17,type 3,,,,,,,,,,type 61,0
ppl_154784,act2_1630173,2022-12-27,type 2,,,,,,,,,,type 1,1
ppl_198059,act2_830587,2022-10-05,type 4,,,,,,,,,,type 1491,1
ppl_370270,act2_1224692,2022-10-22,type 3,,,,,,,,,,type 23,0
ppl_294918,act2_2499291,2022-10-18,type 3,,,,,,,,,,type 23,0
ppl_178208,act2_1518668,2023-01-12,type 2,,,,,,,,,,type 1,0
ppl_359213,act2_2410137,2022-10-22,type 4,,,,,,,,,,type 479,1
ppl_271333,act2_586436,2023-02-10,type 2,,,,,,,,,,type 1,0
ppl_144114,act2_1685634,2023-03-29,type 3,,,,,,,,,,type 2,1
ppl_329961,act2_3620890,2022-09-16,type 5,,,,,,,,,,type 600,0
ppl_272390,act1_290344,2022-09-30,type 1,type 5,type 5,type 1,type 3,type 6,type 1,type 3,type 11,type 8,,0
ppl_294918,act2_3836239,2022-10-20,type 3,,,,,,,,,,type 23,0
ppl_370270,act2_3029560,2022-10-22,type 3,,,,,,,,,,type 23,0
ppl_364947,act2_1980349,2023-06-07,type 2,,,,,,,,,,type 1,0
ppl_195445,act2_3183401,2023-02-11,type 4,,,,,,,,,,type 1259,0
ppl_325540,act2_4802680,2022-10-23,type 5,,,,,,,,,,type 3675,1
ppl_277461,act2_4372092,2023-01-11,type 5,,,,,,,,,,type 1350,0
ppl_15842,act2_2991276,2022-08-15,type 2,,,,,,,,,,type 1,0
ppl_27752,act2_3711673,2023-01-10,type 2,,,,,,,,,,type 1,1
ppl_391017,act2_4560229,2023-02-03,type 2,,,,,,,,,,type 1,0
ppl_308229,act2_2557264,2022-12-21,type 2,,,,,,,,,,type 1,1
ppl_102307,act2_2253134,2022-10-27,type 5,,,,,,,,,,type 618,1
ppl_291053,act2_3031163,2023-01-06,type 4,,,,,,,,,,type 37,1
ppl_313414,act2_3238147,2023-01-24,type 3,,,,,,,,,,type 55,0
ppl_381641,act2_4789104,2023-01-12,type 5,,,,,,,,,,type 257,0
ppl_397123,act2_3257513,2022-11-05,type 5,,,,,,,,,,type 450,1
ppl_154615,act2_3841473,2022-11-05,type 5,,,,,,,,,,type 4987,1
ppl_143171,act2_386568,2022-07-24,type 2,,,,,,,,,,type 1,0
ppl_85216,act2_2017952,2023-06-02,type 3,,,,,,,,,,type 52,1
ppl_219296,act2_3303908,2023-02-13,type 2,,,,,,,,,,type 1,1
ppl_227062,act2_3017038,2022-10-18,type 4,,,,,,,,,,type 437,1
ppl_322735,act2_3969179,2023-04-15,type 2,,,,,,,,,,type 1,0
ppl_387236,act2_3084204,2022-12-29,type 2,,,,,,,,,,type 1,0
ppl_111650,act2_4545768,2023-06-22,type 3,,,,,,,,,,type 2,1
ppl_175420,act2_2442674,2023-08-02,type 2,,,,,,,,,,type 1,0
ppl_88416,act2_1143037,2022-12-02,type 4,,,,,,,,,,type 183,0
ppl_74620,act2_4302864,2023-08-09,type 3,,,,,,,,,,type 61,1
ppl_374388,act2_1703961,2023-07-04,type 3,,,,,,,,,,type 2,0
ppl_303058,act2_4262616,2023-05-24,type 4,,,,,,,,,,type 28,0
ppl_276657,act2_2795031,2022-09-26,type 5,,,,,,,,,,type 257,0
ppl_141126,act2_2651010,2023-05-24,type 2,,,,,,,,,,type 1,0
ppl_161127,act2_670325,2023-04-09,type 2,,,,,,,,,,type 1,1
ppl_134195,act2_4234394,2022-12-20,type 2,,,,,,,,,,type 1,0
ppl_370270,act2_1399960,2022-10-23,type 3,,,,,,,,,,type 23,0
ppl_367539,act2_2882933,2022-11-02,type 5,,,,,,,,,,type 5064,0
ppl_250734,act2_2841273,2023-08-05,type 2,,,,,,,,,,type 1,1
ppl_122083,act2_682161,2022-10-15,type 5,,,,,,,,,,type 433,1
ppl_370667,act2_423896,2023-05-03,type 2,,,,,,,,,,type 1,0
ppl_340498,act2_1414302,2022-11-06,type 5,,,,,,,,,,type 474,0
ppl_174312,act2_2706838,2023-05-11,type 3,,,,,,,,,,type 2,0
ppl_242086,act2_4610988,2022-12-23,type 2,,,,,,,,,,type 1,0
ppl_167370,act2_3560147,2022-08-18,type 5,,,,,,,,,,type 1127,0
ppl_67959,act2_3560421,2023-06-23,type 3,,,,,,,,,,type 2,1
ppl_240210,act2_264617,2022-09-29,type 5,,,,,,,,,,type 489,0
ppl_274633,act2_3548642,2022-11-06,type 5,,,,,,,,,,type 450,1
ppl_91122,act2_1795873,2023-08-23,type 4,,,,,,,,,,type 508,1
ppl_271990,act2_2511735,2022-11-12,type 5,,,,,,,,,,type 291,0
ppl_34159,act2_1486044,2023-04-16,type 3,,,,,,,,,,type 2,1
ppl_397650,act2_568633,2022-11-13,type 5,,,,,,,,,,type 973,1
ppl_170555,act2_1109372,2022-09-16,type 2,,,,,,,,,,type 1,1
ppl_80819,act2_4101446,2023-01-28,type 5,,,,,,,,,,type 7377,1
ppl_105739,act2_1408994,2022-09-30,type 3,,,,,,,,,,type 23,0
ppl_251114,act2_3929240,2023-01-12,type 2,,,,,,,,,,type 1,1
ppl_264587,act2_4326910,2022-11-04,type 5,,,,,,,,,,type 708,1
ppl_371325,act2_640599,2023-06-30,type 5,,,,,,,,,,type 400,1
ppl_337051,act2_4702220,2023-02-09,type 2,,,,,,,,,,type 1,1
ppl_240746,act2_2031909,2022-11-04,type 5,,,,,,,,,,type 257,1
ppl_103671,act2_3364865,2023-03-23,type 2,,,,,,,,,,type 1,0
ppl_218985,act2_748925,2023-03-26,type 3,,,,,,,,,,type 2,1
ppl_185039,act2_4597255,2023-05-25,type 2,,,,,,,,,,type 1,0
ppl_282417,act2_3861879,2023-07-01,type 5,,,,,,,,,,type 400,1
ppl_294918,act2_1897207,2022-10-19,type 3,,,,,,,,,,type 23,0
ppl_219228,act2_4522347,2022-09-09,type 5,,,,,,,,,,type 4092,0
ppl_159624,act2_2199770,2022-09-22,type 2,,,,,,,,,,type 1,0
ppl_168114,act2_3938372,2022-08-17,type 4,,,,,,,,,,type 1358,1
ppl_92563,act2_3014368,2023-03-27,type 2,,,,,,,,,,type 1,0
ppl_199197,act2_218740,2023-04-21,type 3,,,,,,,,,,type 2,0
ppl_51263,act2_3509927,2023-07-30,type 2,,,,,,,,,,type 1,1
ppl_30350,act2_3582687,2022-12-30,type 2,,,,,,,,,,type 1,1
ppl_83075,act2_259316,2022-12-20,type 5,,,,,,,,,,type 444,1
ppl_337072,act2_520140,2023-03-03,type 4,,,,,,,,,,type 143,1
ppl_202585,act2_2563465,2023-03-25,type 2,,,,,,,,,,type 1,1
ppl_167896,act2_3335715,2023-07-19,type 2,,,,,,,,,,type 1,1
ppl_98093,act2_2380528,2022-09-15,type 5,,,,,,,,,,type 148,1
ppl_210409,act2_519891,2022-09-09,type 2,,,,,,,,,,type 1,0
ppl_61292,act2_365103,2023-04-29,type 2,,,,,,,,,,type 1,0
ppl_360231,act2_1721046,2023-04-26,type 2,,,,,,,,,,type 1,1
ppl_31931,act2_43072,2022-10-29,type 5,,,,,,,,,,type 274,0
ppl_370270,act2_2364163,2022-10-23,type 3,,,,,,,,,,type 23,0
ppl_3394,act2_4351814,2022-10-14,type 5,,,,,,,,,,type 1781,1
ppl_168569,act2_4436113,2023-02-15,type 4,,,,,,,,,,type 297,1
ppl_136162,act2_4721273,2023-06-13,type 2,,,,,,,,,,type 1,1
ppl_244275,act2_2935409,2023-01-25,type 4,,,,,,,,,,type 1142,0
ppl_122227,act2_1989708,2023-05-24,type 2,,,,,,,,,,type 1,0
ppl_143330,act2_3084397,2023-03-10,type 2,,,,,,,,,,type 1,1
ppl_28851,act2_3870659,2022-11-25,type 2,,,,,,,,,,type 1,0
ppl_49614,act2_2052160,2022-10-09,type 5,,,,,,,,,,type 2213,0
ppl_339042,act2_4801843,2022-12-23,type 3,,,,,,,,,,type 3,0
ppl_89332,act1_311338,2022-12-27,type 1,type 10,type 12,type 5,type 5,type 6,type 1,type 1,type 7,type 4,,0
ppl_380672,act2_952035,2023-01-10,type 3,,,,,,,,,,type 52,0
ppl_224248,act1_146062,2022-12-02,type 1,type 10,type 2,type 1,type 6,type 6,type 3,type 2,type 11,type 6,,1
ppl_122907,act2_1796144,2023-02-05,type 5,,,,,,,,,,type 5517,0
ppl_272916,act2_649695,2023-04-19,type 2,,,,,,,,,,type 1,1
ppl_65485,act2_4011796,2023-03-22,type 2,,,,,,,,,,type 1,1
ppl_94189,act2_3864581,2023-06-15,type 2,,,,,,,,,,type 1,1
ppl_105739,act2_4414253,2022-09-28,type 3,,,,,,,,,,type 23,0
ppl_72603,act2_1910015,2023-02-25,type 2,,,,,,,,,,type 1,1
ppl_22368,act2_4523735,2023-01-12,type 2,,,,,,,,,,type 1,1
ppl_25235,act2_406307,2023-04-12,type 2,,,,,,,,,,type 1,0
ppl_370270,act2_1330599,2022-10-22,type 3,,,,,,,,,,type 23,0
ppl_128033,act2_1566223,2023-02-14,type 2,,,,,,,,,,type 1,0
ppl_383909,act2_2927838,2022-07-27,type 2,,,,,,,,,,type 1,0
ppl_203249,act2_4418922,2023-02-03,type 2,,,,,,,,,,type 1,0
ppl_244339,act1_237374,2023-01-25,type 1,type 5,type 2,type 7,type 3,type 1,type 3,type 3,type 4,type 7,,0
ppl_377547,act2_3369882,2022-10-16,type 5,,,,,,,,,,type 4224,0
ppl_253931,act2_1240457,2022-10-15,type 5,,,,,,,,,,type 433,0
ppl_95063,act2_1074017,2023-01-10,type 2,,,,,,,,,,type 1,0
ppl_167623,act2_1523161,2022-08-26,type 2,,,,,,,,,,type 1,0
ppl_387196,act2_1650477,2023-02-14,type 2,,,,,,,,,,type 1,1
ppl_91996,act2_150300,2022-10-15,type 5,,,,,,,,,,type 1781,1
ppl_263849,act2_3890647,2022-10-17,type 5,,,,,,,,,,type 1069,1
ppl_143732,act2_927505,2022-10-19,type 2,,,,,,,,,,type 1,1
ppl_280616,act2_3315333,2023-05-10,type 3,,,,,,,,,,type 2,1
ppl_155327,act2_3122019,2022-10-23,type 5,,,,,,,,,,type 481,1
ppl_127519,act2_2252954,2022-09-17,type 5,,,,,,,,,,type 895,1
ppl_90835,act2_1037159,2022-11-05,type 5,,,,,,,,,,type 450,1
ppl_76570,act2_3507620,2023-07-04,type 4,,,,,,,,,,type 414,0
ppl_322796,act2_2962207,2022-10-24,type 5,,,,,,,,,,type 4951,1
ppl_256396,act2_1719668,2022-12-20,type 5,,,,,,,,,,type 2745,0
ppl_134890,act2_1229834,2023-01-14,type 4,,,,,,,,,,type 11,0
ppl_24484,act2_3839011,2022-10-12,type 2,,,,,,,,,,type 1,1
ppl_80165,act2_2832021,2023-01-20,type 2,,,,,,,,,,type 1,1
ppl_24185,act2_1215000,2022-08-18,type 2,,,,,,,,,,type 1,0
ppl_294918,act2_3334740,2022-10-18,type 3,,,,,,,,,,type 23,0
ppl_387237,act2_898429,2023-02-03,type 5,,,,,,,,,,type 452,1
ppl_62513,act1_401608,2023-04-07,type 1,type 2,type 16,type 4,type 3,type 2,type 2,type 3,type 4,type 4,,0
ppl_232341,act2_4365171,2022-10-11,type 4,,,,,,,,,,type 118,0
ppl_183811,act2_4032798,2023-06-30,type 5,,,,,,,,,,type 464,1
ppl_294775,act2_4204434,2022-09-15,type 5,,,,,,,,,,type 136,0
ppl_359188,act2_1013755,2023-08-04,type 2,,,,,,,,,,type 1,0
ppl_294918,act2_4753214,2022-10-18,type 3,,,,,,,,,,type 23,0
ppl_350442,act2_3867444,2022-10-01,type 2,,,,,,,,,,type 1,1
ppl_358494,act2_1505939,2023-01-10,type 2,,,,,,,,,,type 1,1
ppl_191519,act2_3534057,2023-04-26,type 2,,,,,,,,,,type 1,1
ppl_368106,act2_346877,2022-10-24,type 5,,,,,,,,,,type 481,0
ppl_181683,act2_3851870,2023-04-13,type 3,,,,,,,,,,type 2,0
ppl_188068,act2_2761146,2023-02-08,type 2,,,,,,,,,,type 1,1
ppl_46150,act2_2649634,2023-02-27,type 3,,,,,,,,,,type 2,0
ppl_275742,act2_2173875,2022-07-26,type 2,,,,,,,,,,type 1,1
ppl_256652,act2_4131293,2022-11-09,type 5,,,,,,,,,,type 420,1
ppl_140277,act2_4154493,2023-04-21,type 2,,,,,,,,,,type 1,0
ppl_392299,act2_1272824,2022-09-15,type 5,,,,,,,,,,type 584,0
ppl_17396,act2_1747109,2023-02-09,type 2,,,,,,,,,,type 1,0
ppl_312324,act2_1501191,2023-05-25,type 2,,,,,,,,,,type 1,0
ppl_370270,act2_2320031,2022-10-24,type 3,,,,,,,,,,type 23,0
ppl_395424,act2_2112394,2023-08-18,type 4,,,,,,,,,,type 2531,1
ppl_105262,act2_752991,2022-09-03,type 2,,,,,,,,,,type 1,0
ppl_373844,act2_1632642,2022-10-25,type 2,,,,,,,,,,type 1,0
ppl_208031,act2_2614452,2022-09-23,type 5,,,,,,,,,,type 3948,1
ppl_129111,act2_4510724,2022-09-12,type 5,,,,,,,,,,type 1058,1
ppl_3961,act2_3377193,2022-11-12,type 5,,,,,,,,,,type 585,0
ppl_289942,act1_118587,2023-06-28,type 1,type 2,type 14,type 1,type 3,type 2,type 2,type 3,type 4,type 13,,0
ppl_51926,act2_2466449,2022-10-15,type 5,,,,,,,,,,type 4954,1
ppl_190084,act2_3292416,2023-07-14,type 3,,,,,,,,,,type 2,1
ppl_307722,act2_2290344,2022-08-18,type 2,,,,,,,,,,type 1,0
ppl_328713,act2_1817314,2023-04-26,type 2,,,,,,,,,,type 1,1
